"idOcc","catalogNumber","recordedBy","occurrenceID","recordNumber","otherCatalogNumbers","individualCount","preparations","occurrenceRemarks"
"idOcc_60","235707","Imaguire, N","BRA:MBM:MBM:0000235707","245",NA,NA,NA,NA
"idOcc_61","235708","Dombrowski, LT","BRA:MBM:MBM:0000235708","1661",NA,NA,NA,NA
"idOcc_62","229884","Dittrich, VA de O","BRA:MBM:MBM:0000229884","374",NA,NA,NA,NA
"idOcc_63","124319","Bueno, RM; da Silva, EM; Kazmirczak, C","BRA:UFRGS:ICN:0000124319","s.n.",NA,NA,NA,"Terrícola, IM próximo de riacho."
"idOcc_64","4695","Tessmann, G","BRA:MBM:MBM:0000004695","467",NA,NA,NA,NA
"idOcc_65","107029","Bueno, RM","BRA:UFRGS:ICN:0000107029","4364",NA,NA,NA,"Em rocha, corredeira"
"idOcc_66","014255","Dutra, J","BRA:UFRGS:ICN:0000014255","255",NA,NA,NA,NA
"idOcc_67","15248","Hatschbach, G","BRA:MBM:MBM:0000015248","24738",NA,NA,NA,NA
"idOcc_68","107015","Bueno, RM","BRA:UFRGS:ICN:0000107015","4353",NA,NA,NA,"Em Rocha, corredeira, interior de mato."
"idOcc_69","010855","Raddi,G.",NA,NA,NA,NA,NA,NA
"idOcc_70","163744","Nóbrega, GA","BRA:UNICAMP:UEC:0000163744","345",NA,NA,NA,"Planta com soros lineares em apenas um lado da nervura."
"idOcc_71","155614","Hirai, RY; Prado, J; Vasconcellos-Neto, J","BRA:UNICAMP:UEC:0000155614","678",NA,NA,NA,"Epífita.; Interior da Mata."
"idOcc_72","57296","Salino, A","BRA:UNICAMP:UEC:0000057296","529",NA,NA,NA,"Rupícola.; Beira de riacho, na mata de galeria isolada, próxima ao Morro do Cuscuzeiro."
"idOcc_73","110127","Kozera, C; Kozera, OP","BRA:UNICAMP:UEC:0000110127","1194",NA,NA,NA,"Rupícola.; Subosque, floresta ombrófila densa de encosta."
"idOcc_74","58630","Salino, A","BRA:UNICAMP:UEC:0000058630","1148",NA,NA,NA,"Sobre rocha com húmus, junto a riacho. Em mata atlântica primária."
"idOcc_75","211647","Glaziou, A.F.M.","BRA:MN:R:0000211647",NA,NA,NA,NA,"Gabinete de Botânica da Escola Polytechnica, 1003; Herb. J. de Saldanha"
"idOcc_76","211646","Glaziou, A.F.M.","BRA:MN:R:0000211646",NA,NA,NA,NA,NA
"idOcc_77","16620","Montes, J. E.",NA,NA,NA,NA,NA,NA
"idOcc_78","158454","Hatschbach, G.",NA,NA,NA,NA,NA,NA
"idOcc_79","L.3508114","Sehnem A","http://data.biodiversitydata.nl/naturalis/specimen/L.3508114",NA,NA,NA,NA,NA
